,Case Number,Date,Year,Type,Country,Area,Location,Activity,Sex ,Age,Fatal (Y/N)
829,2010.01.09.d,Jan,2010,Unprovoked,AUSTRALIA,Torres Strait,Thursday Island,Snorkeling,F,9,N
850,2009.11.13,Nov,2009,Unprovoked,USA,Florida,"Jupiter, Palm Beach County",Surfing,F,27,N
856,2009.10.28,Oct,2009,Unprovoked,AUSTRALIA,New South Wales,Lennox Heads,Paddle-boarding,F,17,N
859,2009.10.18,Oct,2009,Unprovoked,PANAMA,Bocas,Playa La Caba�a ,Wading,F,10,N
874,2009.08.25,Aug,2009,Unprovoked,USA,California,"Terramar Beach, Carlsbad, San Diego County",Swimming,F,22,N
881,2009.07.29,Jul,2009,Unprovoked,VIETNAM,Binh Dinh Province,Quy Nhon ,Swimming,F,41,N
883,2009.07.24.b,Jul,2009,Unprovoked,USA,Texas,South Padre Island,Wading,F,14,N
884,2009.07.24.a,Jul,2009,Invalid,SPAIN,Catalunya,Sant Salvador,Swimming,F,11,N
885,2009.07.22.b,Jul,2009,Unprovoked,USA,North Carolina,Holden Beach. Brunswick County,Swimming,F,26,N
886,2009.07.22.a,Jul,2009,Unprovoked,USA,Florida,"Intracoastal Waterway,      St. Petersburg",Swimming,F,19,N
891,2009.07.05,Jul,2009,Unprovoked,USA,Florida,"Daytona Beach, Volusia County",Boogie Boarding,F,12,N
892,2009.07.04,Jul,2009,Provoked,USA,Florida,"Biscayne National Park, Miami",Swimming,F,43,N
899,2009.06.01,Jun,2009,Unprovoked,EGYPT,St. Johns Reef,Habili Gafar,Snorkeling,F,50,Y
923,2009.03.18.a,Mar,2009,Unprovoked,USA,Florida,"Ponce Inlet, Volusia County",Surfing,F,17,N
949,2009.01.11.b,Jan,2009,Unprovoked,AUSTRALIA,Tasmania,Binalong Bay,Surfing,F,13,N
994,2008.08.22,Aug,2008,Invalid,USA,North Carolina,"Surf City, Topsail Island, Pender County",Surfing,F,20,N
997,2008.08.16,Aug,2008,Unprovoked,USA,US Virgin Islands,Buck Island,Treading water,F,38,N
998,2008.08.12,Aug,2008,Unprovoked,USA,Florida,"New Smyrna Beach, Volusia County",Wading,F,13,N
1006,2008.07.25.a,Jul,2008,Unprovoked,USA,Hawaii,"Lahilahi Point, Oahu",Snorkeling,F,44,N
1008,2008.07.24.a,Jul,2008,Unprovoked,USA,North Carolina,"Topsail Island, Pender County",Wading,F,8,N
1014,2008.07.09,Jul,2008,Unprovoked,USA,North Carolina,"Emerald Isle, Carteret County",Swimming,F,14,N
1015,2008.07.05,Jul,2008,Unprovoked,USA,South Carolina,"Litchfield Beach, Georgetown County",Unknown,F,17,N
1024,2008.06.21,Jun,2008,Unprovoked,USA,California,"West Cove, Catalina Island",Kayaking,F,40,N
1025,2008.06.20,Jun,2008,Unprovoked,USA,Florida,"Fernandina Beach, Nassau County",Wading,F,35,N
1029,2008.06.01.b,Jun,2008,Unprovoked,USA,South Carolina,Cherry Grove,Body surfing,F,15,N
1067,2008.02.07,Feb,2008,Unprovoked,AUSTRALIA,New South Wales,Horseshoe Bay,Surfing,F,14,N
1092,2007.10.15,Oct,2007,Unprovoked,AUSTRALIA,New South Wales,Byron Bay,Surf-skiing,F,52,N
1098,2007.09.30.a,Sep,2007,Unprovoked,NEW CALEDONIA,Loyalty Islands,"Bay of Luengoni, Lifou Island",Swimming,F,23,Y
1099,2007.09.28,Sep,2007,Unprovoked,BAHAMAS,Grand Bahama Island,Sweetings Cay,Spearfishing,F,48,N
1109,2007.09.08,Sep,2007,Unprovoked,USA,Florida,"Pepper Park Beach, St. Lucie County",Wading,F,58,N
1110,2007.09.05,Sep,2007,Unprovoked,USA,Florida,"Daytona Beach, Volusia County",Wading,F,36,N
1112,2007.09.03.b,Sep,2007,Unprovoked,USA,Florida,"Daytona Beach, Volusia County",Jumping,F,12,N
1124,2007.08.12,Aug,2007,Unprovoked,USA,Florida,"New Smyrna Beach, Volusia County",Swimming,F,15,N
1128,2007.08.07,Aug,2007,Unprovoked,USA,Florida,"Islamorada, Monroe County",Jumped into the water,F,19,N
1137,2007.07.17.b,Jul,2007,Invalid,USA,California,"Faria Beach, Ventura County",Swimming,F,43,N
1138,2007.07.17.a,Jul,2007,Unprovoked,USA,North Carolina,"Atlantic Beach, Carteret County",Wading,F,30,N
1139,2007.07.10,Jul,2007,Unprovoked,BAHAMAS,Abaco Islands,Allan-Pensacola Cay,Spearfishing,F,48,N
1147,2007.06.17,Jun,2007,Invalid,USA,Florida,"Vilano Beach, St.  Johns County",Surfing,F,9,N
1151,2007.05.24,May,2007,Provoked,USA,Virginia,"Virginia Aquarium & Marine Science Center, Virginia Beach ",Reviving a sedated shark,F,40,N
1153,2007.05.16,May,2007,Unprovoked,AUSTRALIA,Western Australia,"Warra Beach, Coral Bay",Wading,F,38,N
1155,2007.05.10,May,2007,Unprovoked,USA,Florida,"New Smyrna Beach, Volusia County",Surfing,F,21,N
1158,2007.05.07.b,May,2007,Unprovoked,USA,Hawaii,"Keawakapu Beach, Maui",Snorkeling,F,63,N
1162,2007.04.26,Apr,2007,Unprovoked,AUSTRALIA,Queensland,"Mornington Island, Gulf of Carpentaria",Swimming / jumping off a jetty,F,13,N
1172,2007.03.20,Mar,2007,Unprovoked,AUSTRALIA,New South Wales,South Golden Beach,Surfing,F,42,N
1174,2007.03.12,Mar,2007,Unprovoked,AUSTRALIA,Queensland,"Moore Park, north of Bundaberg",Swimming,F,59,N
1234,2006.07.13,Jul,2006,Invalid,SPAIN,Alicante,San Juan Beach  ,Swimming,F,7,N
1235,2006.07.12,Jul,2006,Unprovoked,USA,South Carolina,"Kiawah Island, Charleston County",Swimming,F,21,N
1239,2006.07.08.b,Jul,2006,Unprovoked,USA,South Carolina,"Debordieu Beach, Georgetown County",Body boarding,F,14,N
1243,2006.06.27,Jun,2006,Unprovoked,USA,Florida,"Hutchinson Island, St. Lucie County",Body boarding,F,9,N
1246,2006.06.20,Jun,2006,Unprovoked,USA,Florida,"New Smyrna Beach, Volusia County",Surfing,F,22,N
1250,2006.06.07,Jun,2006,Unprovoked,USA,South Carolina,"Coligny Beach, Hilton Head, Beaufort County",Playing,F,7,N
1257,2006.05.19,May,2006,Unprovoked,USA,Guam,Gun Beach,Scuba diving,F,30,N
1259,2006.05.04,May,2006,Unprovoked,USA,Florida,"Hutchinson Island, St. Lucie County",Swimming,F,20,N
1263,2006.04.19,Apr,2006,Unprovoked,USA,Florida,"Daytona Beach, Volusia County",Standing,F,13,N
1270,2006.03.23,Mar,2006,Unprovoked,USA,Hawaii,"Leftovers, near Waimea Bay, O'ahu",Surfing,F,28,N
1274,2006.02.27,Feb,2006,Unprovoked,USA,Hawaii,"Makena, Maui",Standing,F,15,N
1280,2006.02.01.b,Feb,2006,Unprovoked,TONGA,Vava'u,Tu�anuku,Swimming,F,24,Y
1288,2006.01.07,Jan,2006,Unprovoked,AUSTRALIA,Queensland,"Amity Point, North Stradbroke Island",Swimming,F,21,Y
1313,2005.10.19,Oct,2005,Unprovoked,USA,California,"Salmon Beach, Sonoma County",Surfing,F,20,N
1316,2005.10.11,Oct,2005,Unprovoked,GRAND CAYMAN,East Wall,Jack McKenney's Canyon,Scuba diving,F,57,N
1324,2005.09.20,Sep,2005,Unprovoked,USA,South Carolina,"Myrtle Beach, Horry County",Body surfing,F,68,N
1327,2005.09.05,Sep,2005,Unprovoked,USA,North Carolina,"North Topsail Beach, Onslow County",Wading,F,18,N
1340,2005.07.27,Jul,2005,Unprovoked,USA,Florida,"Off Zelda Boulevard, Daytona Beach, Volusia Countyy",Wading,F,13,N
1347,2005.07.13,Jul,2005,Unprovoked,USA,Texas,"Port Bolivar, Galveston County",Holding onto an inflatable boat,F,14,N
1350,2005.06.25,Jun,2005,Unprovoked,USA,Florida,"Destin, Walton County",Swimming with boogie board,F,14,Y
1351,2005.06.22,Jun,2005,Unprovoked,VANUATU,Malampa Province,Atchin Island off Malakula,Swimming,F,7,Y
1355,2005.06.13,Jun,2005,Unprovoked,SOUTH KOREA,South Ch'ungch'ong Province,Dando/Kaeui Island ,Diving,F,38,N
1356,2005.06.07,Jun,2005,Unprovoked,USA,South Carolina,"Kiawah Island, Charleston County",Boogie boarding,F,11,N
1372,2005.04.13,Apr,2005,Unprovoked,USA,Florida,"Crescent Beach, Sarasota County",Wading,F,70,N
1394,2004.12.26,Dec,2004,Invalid,SRI LANKA,Eastern Province,Pasikudha,"Swept out to sea by the tsunami, she clung  to a log for 24 hours",F,11,N
1399,2004.11.15,Nov,2004,Unprovoked,SOUTH AFRICA,Western Cape Province,"Fish Hoek, False Bay",Swimming,F,77,Y
1417,2004.09.04,Sep,2004,Unprovoked,USA,South Carolina ,"North of Apache Pier, Myrtle Beach, Horry County",Jumping,F,17,N
1418,2004.08.29,Aug,2004,Unprovoked,USA,Florida,"New Smyrna Beach / Cape Canaveral  National Seashore, Brevard County",Walking,F,38,N
1425,2004.07.31,Jul,2004,Unprovoked,USA,Florida,"Cocoa  Beach, Brevard County",Surfing,F,20,N
1427,2004.07.28,Jul,2004,Unprovoked,USA,North Carolina,"Rodanthe, Dare County",Surfing,F,28,N
1428,2004.07.27.b,Jul,2004,Unprovoked,USA,North Carolina,"Carolina Beach, New Hanover County",Swimming,F,13,N
1429,2004.07.27.a,Jul,2004,Unprovoked,USA,Texas,Galveston Island,Swimming,F,19,N
1447,2004.05.22.b,May,2004,Unprovoked,USA,Florida,"Jacksonville Beach, Duval County",Unknown,F,9,N
1448,2004.05.22.a,May,2004,Unprovoked,BRAZIL,Pernambuco,"Piedade Beach, Recife",Wading,F,24,N
1458,2004.04.04,Apr,2004,Invalid,USA,Hawaii,Velzyland,Surfing,F,22,Y
1494,2003.11.22,Nov,2003,Unprovoked,USA,Florida,"Daytona Beach, Volusia County",Surfing,F,35,N
1503,2003.10.31.a,Oct,2003,Unprovoked,USA,Hawaii,"Tunnels surf break off Makua Beach, Kaua'i",Surfing,F,13,N
1512,2003.10.05.a,Oct,2003,Unprovoked,USA,Hawaii,"Cove Beach / Kalama Beach, Kihei, Maui",Wading near a fishing net,F,41,N
1526,2003.08.19,Aug,2003,Unprovoked,USA,California,"Avila Beach, San Luis Obispo County","Swimming, wearing black wetsuit & swim fins",F,50,Y
1531,2003.07.15,Jul,2003,Unprovoked,USA,Florida,"Daytona Beach, Volusia County",Wading,F,15,N
1542,2003.06.24.b,Jun,2003,Unprovoked,USA,Florida,"Cocoa Beach, Brevard County",Standing,F,12,N
1552,2003.05.03,May,2003,Unprovoked,USA,Florida,"Daytona Beach Shores, Volusia County",Walking,F,9,N
1578,2002.12.29,Dec,2002,Unprovoked,AUSTRALIA,Queensland,Great Barrier Reef  (near Upolu Bay),Snorkeling,F,18,N
1586,2002.11.17,Nov,2002,Unprovoked,USA,Hawaii,Ka'anapali,Swimming,F,34,N
1587,2002.11.14,Nov,2002,Unprovoked,TURKS & CAICOS,Caicos Bank,French Cay,Snorkeling,F,41,N
1591,2002.10.30,Oct,2002,Unprovoked,USA,Hawaii,"Kama'ole Beach Park I, Kihei, Maui",Swimming,F,60,N
1610,2002.08.17,Aug,2002,Unprovoked,USA,Alabama,"Gulf of Mexico, 65 miles offshore from Mobile",Swimming,F,29,N
1617,2002.07.20,Jul,2002,Unprovoked,USA,North Carolina,"Emerald Isle, Carteret County",Swimming,F,15,N
1621,2002.07.04,Jul,2002,Unprovoked,USA,North Carolina,"Wrightsville Beach, New Hanover County",Standing,F,9,N
1623,2002.06.20.a,Jun,2002,Unprovoked,USA,Florida,"New Smyrna Beach, Volusia County",Swimming,F,11,N
1650,2002.03.25.a,Mar,2002,Unprovoked,USA,Florida,"Cocoa Beach, Brevard County",Wading,F,11,N
1671,2001.10.02,Oct,2001,Unprovoked,AUSTRALIA,Queensland,200 miles offshore,Snorkeling,F,20,N
1684,2001.09.03.a,Sep,2001,Unprovoked,USA,North Carolina,"Avon, Hatteras Island, Outer Banks, Dare County",Swimming,F,23,N
1688,2001.08.29,Aug,2001,Unprovoked,USA,Florida,"Coquina Beach, Anna Maria Island, Manatee County",Standing,F,29,N
1695,2001.08.19.b,Aug,2001,Unprovoked,USA,Florida,"New Smyrna Beach, Volusia County",Surfing,F,17,N
1696,2001.08.19.a,Aug,2001,Unprovoked,USA,Florida,"Wilbur-by-the-Sea, Volusia County",Surfing,F,17,N
1718,2001.06.03,Jun,2001,Unprovoked,USA,South Carolina,"Off 21st Avenue, Isle of Palms, Charleston County",Wading,F,29,N
1754,2001.01.24,Jan,2001,Unprovoked,CUBA,Holquin Province,Off Blau Costa Verde resort,Swimming,F,55,N
1767,2000.11.10,Nov,2000,Invalid,USA,Florida,"Vaughn Beach, Flagler County",Walking,F,27,N
1773,2000.10.18,Oct,2000,Unprovoked,USA,Hawaii,Olowalu,Swimming / snorkeling,F,56,N
1786,2000.09.12,Sep,2000,Unprovoked,USA,Florida,"Sebastian Inlet, Indian River or Brevard County",Surfing,F,26,N
1800,2000.08.12,Aug,2000,Unprovoked,USA,Florida,"St. Augustine, St. Johns County",Standing,F,44,N
1805,2000.07.22,Jul,2000,Unprovoked,USA,Florida,"Big Pine Key, Monroe County ",Snorkeling,F,45,N
1815,2000.07.06,Jul,2000,Unprovoked,USA,North Carolina,"Pine Island, Corolla, Currituck County",Playing,F,12,N
1816,2000.07.04.b,Jul,2000,Unprovoked,USA,Florida,"Daytona Beach, Volusia County",Wading,F,20,N
1817,2000.07.04.a,Jul,2000,Unprovoked,USA,Florida,"Artifical reef 3 miles off Manatee Beach, Manatee County","Spearfishing, holding mesh bag with speared fish",F,55,N
1818,2000.07.02.b,Jul,2000,Unprovoked,USA,Florida,"Smyrna Dunes  Park, New Smyrna Beach, Volusia County",Wading,F,13,N
1819,2000.07.02.a,Jul,2000,Unprovoked,USA,Florida,"Smyrna Dunes Park, New Smyrna Beach, Volusia County",Standing,F,19,N
1838,2000.03.26,Mar,2000,Unprovoked,USA,Florida,"Juno Beach, Palm Beach County",Boogie boarding,F,14,N
